Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³
Nordrhein-Westfalen;DENW058;Hürth;vorstädtisches Gebiet;Industrie;8,4
Niedersachsen;DENI070;Salzgitter-Drütte;ländliches Gebiet;Industrie;6,7
Niedersachsen;DENI053;Südoldenburg;vorstädtisches Gebiet;Industrie;8,2
Mecklenburg-Vorpommern;DEMV031;Rostock-Hohe Düne;städtisches Gebiet;Industrie;9,7
Hamburg;DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;8,5
Bremen;DEHB013;Bremen-Hasenbüren;ländlich regional;Industrie;8,9
Baden-Württemberg;DEBW022;Kehl;vorstädtisches Gebiet;Industrie;7,2
Baden-Württemberg;DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;7,5
Brandenburg;DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;8,9
Brandenburg;DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;8,4
Nordrhein-Westfalen;DENW430;Düsseldorf Merowingerstraße;städtisches Gebiet;Verkehr;9,5
Bayern;DEBY200;Passau/Angerstr.;städtisches Gebiet;Verkehr;11
Mecklenburg-Vorpommern;DEMV059;Schwerin Obotr. West;städtisches Gebiet;Verkehr;8,7
Nordrhein-Westfalen;DENW415;Oberhausen Duisburger Straße;städtisches Gebiet;Verkehr;9,7
Bayern;DEBY198;Ingolstadt/Münchener Str.;städtisches Gebiet;Verkehr;11
Thüringen;DETH091;Mühlhausen Wanfrieder Str;städtisches Gebiet;Verkehr;9,2
Thüringen;DETH083;Weimar Steubenstr.;städtisches Gebiet;Verkehr;7,6
Thüringen;DETH081;Erfurt Heinrichstr;städtisches Gebiet;Verkehr;8,1
Thüringen;DETH072;Suhl F.-König-Str;städtisches Gebiet;Verkehr;7,3
Thüringen;DETH043;Erfurt Bergstr.;städtisches Gebiet;Verkehr;7,9
Sachsen-Anhalt;DEST133;Halle/Riebeckplatz;städtisches Gebiet;Verkehr;8,6
Sachsen-Anhalt;DEST108;Weißenfels/Am Krug;städtisches Gebiet;Verkehr;8
Sachsen-Anhalt;DEST103;Magdeburg Schleinufer;städtisches Gebiet;Verkehr;8,5
Sachsen-Anhalt;DEST102;Halle/Paracelsusstr.;städtisches Gebiet;Verkehr;8,8
Sachsen;DESN084;Dresden-Bergstr.;städtisches Gebiet;Verkehr;8,6
Sachsen;DESN083;Chemnitz-Leipziger Str.;städtisches Gebiet;Verkehr;7,6
Sachsen;DESN061;Dresden-Nord;städtisches Gebiet;Verkehr;8,5
Schleswig-Holstein;DESH053;Lübeck Moislinger Allee;städtisches Gebiet;Verkehr;7,1
Schleswig-Holstein;DESH027;Kiel-Bahnhofstr. Verk.;städtisches Gebiet;Verkehr;8,1
Schleswig-Holstein;DESH022;Flensburg;städtisches Gebiet;Verkehr;6,8
Rheinland-Pfalz;DERP046;Neuwied-Hermannstraße;städtisches Gebiet;Verkehr;8,5
Rheinland-Pfalz;DERP041;Ludwigshafen-Heinigstraße;städtisches Gebiet;Verkehr;9,3
Rheinland-Pfalz;DERP024;Koblenz-Friedrich-Ebert-Ring;städtisches Gebiet;Verkehr;8,7
Rheinland-Pfalz;DERP023;Worms-Hagenstraße;städtisches Gebiet;Verkehr;9,6
Rheinland-Pfalz;DERP020;Trier-Ostallee;städtisches Gebiet;Verkehr;8,1
Rheinland-Pfalz;DERP010;Mainz-Parcusstraße;städtisches Gebiet;Verkehr;9,9
Nordrhein-Westfalen;DENW356;Lüdenscheid Lennestraße;städtisches Gebiet;Verkehr;8,4
Nordrhein-Westfalen;DENW355;Leverkusen Gustav-Heinemann-Straße;städtisches Gebiet;Verkehr;8,4
Nordrhein-Westfalen;DENW260;Münster Weseler Straße;städtisches Gebiet;Verkehr;9,3
Nordrhein-Westfalen;DENW259;Mönchengladbach Friedrich-Ebert-Straße;städtisches Gebiet;Verkehr;9,1
Nordrhein-Westfalen;DENW212;Köln Turiner Straße;städtisches Gebiet;Verkehr;8,9
Nordrhein-Westfalen;DENW211;Köln Clevischer Ring;städtisches Gebiet;Verkehr;9,5
Nordrhein-Westfalen;DENW208;Gelsenkirchen Kurt-Schumacher-Straße;städtisches Gebiet;Verkehr;11
Nordrhein-Westfalen;DENW207;Aachen Wilhelmstraße;städtisches Gebiet;Verkehr;8,5
Nordrhein-Westfalen;DENW206;Solingen Konrad-Adenauer-Straße;städtisches Gebiet;Verkehr;11
